date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:52:08	106/106	---M--	200	added ('OK')	text/plain	etag:%226a-52b577e2348b1%22	http://www.scdaarchitects.com/robots.txt		(from )
11:52:08	58870/58870	---MC-	200	added ('OK')	text/html	date:Sun,%2027%20Jun%202021%2006:22:04%20GMT	http://www.scdaarchitects.com/architecture	C:/My%20Web%20Sites/SCDA/www.scdaarchitects.com/architecture.html	(from )
11:52:10	28537/28537	---MCZ	200	added ('OK')	text/css	etag:W/%222bc493d92a57e9302c1847d907798f6b%22	http://fast.fonts.net/cssapi/46b2260a-01f6-4f53-a5ea-4a1d984841ca.css	C:/My%20Web%20Sites/SCDA/fast.fonts.net/cssapi/46b2260a-01f6-4f53-a5ea-4a1d984841ca.css	(from http://www.scdaarchitects.com/architecture)
11:52:10	30649/30649	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2277b9-52b577e2348b1%22	http://www.scdaarchitects.com/favicon.ico	C:/My%20Web%20Sites/SCDA/www.scdaarchitects.com/favicon.ico	(from http://www.scdaarchitects.com/architecture)
11:52:12	256043/256043	---M--	200	added ('OK')	text/css	etag:%223e82b-5835e136ed874%22	http://www.scdaarchitects.com/bundles/exhibitedefault/css/bootstrap.css	C:/My%20Web%20Sites/SCDA/www.scdaarchitects.com/bundles/exhibitedefault/css/bootstrap.css	(from http://www.scdaarchitects.com/architecture)
11:52:15	17374/17374	---MC-	200	added ('OK')	text/html	date:Sun,%2027%20Jun%202021%2006:22:11%20GMT	http://www.scdaarchitects.com/interiors	C:/My%20Web%20Sites/SCDA/www.scdaarchitects.com/interiors.html	(from http://www.scdaarchitects.com/architecture)
11:52:15	7908/7908	---MC-	200	added ('OK')	text/html	date:Sun,%2027%20Jun%202021%2006:22:11%20GMT	http://www.scdaarchitects.com/	C:/My%20Web%20Sites/SCDA/www.scdaarchitects.com/index.html	(from http://www.scdaarchitects.com/architecture)
11:52:16	9312/9312	---MC-	200	added ('OK')	text/html	date:Sun,%2027%20Jun%202021%2006:22:14%20GMT	http://www.scdaarchitects.com/about	C:/My%20Web%20Sites/SCDA/www.scdaarchitects.com/about.html	(from http://www.scdaarchitects.com/architecture)
11:52:17	27668/27668	---MC-	200	added ('OK')	text/html	date:Sun,%2027%20Jun%202021%2006:22:14%20GMT	http://www.scdaarchitects.com/press	C:/My%20Web%20Sites/SCDA/www.scdaarchitects.com/press.html	(from http://www.scdaarchitects.com/architecture)
11:52:19	51319/51319	---MC-	200	added ('OK')	text/html	date:Sun,%2027%20Jun%202021%2006:22:15%20GMT	http://www.scdaarchitects.com/news	C:/My%20Web%20Sites/SCDA/www.scdaarchitects.com/news.html	(from http://www.scdaarchitects.com/architecture)
11:52:19	8808/8808	---MC-	200	added ('OK')	text/html	date:Sun,%2027%20Jun%202021%2006:22:16%20GMT	http://www.scdaarchitects.com/new-projects	C:/My%20Web%20Sites/SCDA/www.scdaarchitects.com/new-projects.html	(from http://www.scdaarchitects.com/architecture)
11:52:20	8390/8390	---MC-	200	added ('OK')	text/html	date:Sun,%2027%20Jun%202021%2006:22:18%20GMT	http://www.scdaarchitects.com/contact	C:/My%20Web%20Sites/SCDA/www.scdaarchitects.com/contact.html	(from http://www.scdaarchitects.com/architecture)
11:52:21	29775/29775	---MC-	200	added ('OK')	text/html	date:Sun,%2027%20Jun%202021%2006:22:18%20GMT	http://www.scdaarchitects.com/ch/architecture	C:/My%20Web%20Sites/SCDA/www.scdaarchitects.com/ch/architecture.html	(from http://www.scdaarchitects.com/architecture)
11:52:22	16307/16307	---MC-	200	added ('OK')	text/html	date:Sun,%2027%20Jun%202021%2006:22:19%20GMT	http://www.scdaarchitects.com/architecture/category/hospitality	C:/My%20Web%20Sites/SCDA/www.scdaarchitects.com/architecture/category/hospitality.html	(from http://www.scdaarchitects.com/architecture)
11:52:22	27533/27533	---MC-	200	added ('OK')	text/html	date:Sun,%2027%20Jun%202021%2006:22:20%20GMT	http://www.scdaarchitects.com/architecture/category/residential	C:/My%20Web%20Sites/SCDA/www.scdaarchitects.com/architecture/category/residential.html	(from http://www.scdaarchitects.com/architecture)
11:52:23	11037/11037	---MC-	200	added ('OK')	text/html	date:Sun,%2027%20Jun%202021%2006:22:21%20GMT	http://www.scdaarchitects.com/architecture/category/institutional	C:/My%20Web%20Sites/SCDA/www.scdaarchitects.com/architecture/category/institutional.html	(from http://www.scdaarchitects.com/architecture)
11:52:24	17990/17990	---MC-	200	added ('OK')	text/html	date:Sun,%2027%20Jun%202021%2006:22:22%20GMT	http://www.scdaarchitects.com/architecture/category/commercial-and-mixed-use	C:/My%20Web%20Sites/SCDA/www.scdaarchitects.com/architecture/category/commercial-and-mixed-use.html	(from http://www.scdaarchitects.com/architecture)
11:52:24	9934/9934	---MC-	200	added ('OK')	text/html	date:Sun,%2027%20Jun%202021%2006:22:22%20GMT	http://www.scdaarchitects.com/architecture/category/houses	C:/My%20Web%20Sites/SCDA/www.scdaarchitects.com/architecture/category/houses.html	(from http://www.scdaarchitects.com/architecture)
11:52:25	13455/13455	---MC-	200	added ('OK')	text/html	date:Sun,%2027%20Jun%202021%2006:22:23%20GMT	http://www.scdaarchitects.com/architecture/category/gallery	C:/My%20Web%20Sites/SCDA/www.scdaarchitects.com/architecture/category/gallery.html	(from http://www.scdaarchitects.com/architecture)
11:52:27	41030/41030	---MC-	200	added ('OK')	text/html	date:Sun,%2027%20Jun%202021%2006:22:24%20GMT	http://www.scdaarchitects.com/architecture/list	C:/My%20Web%20Sites/SCDA/www.scdaarchitects.com/architecture/list.html	(from http://www.scdaarchitects.com/architecture)
11:52:28	25569/25569	---MC-	200	added ('OK')	text/html	date:Sun,%2027%20Jun%202021%2006:22:25%20GMT	http://www.scdaarchitects.com/architecture/map	C:/My%20Web%20Sites/SCDA/www.scdaarchitects.com/architecture/map.html	(from http://www.scdaarchitects.com/architecture)
11:52:28	8463/8463	---MC-	200	added ('OK')	text/html	date:Sun,%2027%20Jun%202021%2006:22:26%20GMT	http://www.scdaarchitects.com/architecture/hyatt-regency-phnom-penh	C:/My%20Web%20Sites/SCDA/www.scdaarchitects.com/architecture/hyatt-regency-phnom-penh.html	(from http://www.scdaarchitects.com/architecture)
11:52:33	103906/103906	---MC-	200	added ('OK')	text/html	date:Sun,%2027%20Jun%202021%2006:22:28%20GMT	http://www.scdaarchitects.com/tags/architecture	C:/My%20Web%20Sites/SCDA/www.scdaarchitects.com/tags/architecture.html	(from http://www.scdaarchitects.com/architecture)
11:52:35	65495/65495	---MC-	200	added ('OK')	text/html	date:Sun,%2027%20Jun%202021%2006:22:30%20GMT	http://www.scdaarchitects.com/tags/chan-soo-khian	C:/My%20Web%20Sites/SCDA/www.scdaarchitects.com/tags/chan-soo-khian.html	(from http://www.scdaarchitects.com/architecture)
